t,open,high,low,close,volume
2013-10-25,141.31073685706167,141.7052571753339,141.03698806479113,141.665,93571048.0
2013-10-28,141.616252056971,142.08323384213813,141.46327526527833,141.89,84672528.0
2013-10-29,142.21222334481007,142.7033599367839,142.0109378562962,142.647,87248072.0
2013-10-30,142.81660797549492,142.921276816609,141.43175869306256,141.939,139662588.0
2013-10-31,141.82585129984642,142.42165674953068,141.32666295011094,141.536,133367094.0
2013-11-01,141.72102309744056,142.19605663696726,141.07690982350604,141.874,142775416.0
2013-11-04,142.26028032573655,142.4293598371317,141.68863054911495,142.373,85486867.0
2013-11-05,141.81833108299764,142.3094698473932,141.35939813921823,141.923,85601525.0
2013-11-06,142.53428012643224,142.91269684483828,142.13976056894506,142.647,87129195.0
2013-11-07,142.91322243182987,143.0259427199451,140.70712536443148,140.844,156202030.0
2013-11-08,140.795551243725,142.76010288228326,140.7794483614417,142.744,136681130.0
2013-11-11,142.60697135122945,142.93708008120913,142.43789127002032,142.768,66300304.0
2013-11-12,142.46189715189874,142.80005696202534,142.00296598101266,142.478,83808745.0
2013-11-13,141.77722777217178,143.66125703554212,141.77722777217178,143.621,103057956.0
2013-11-14,143.75024555140288,144.45877146204046,143.5167540581246,144.338,103190954.0
2013-11-15,144.57147992224384,145.02236001110805,144.3862970286032,144.966,102818190.0
2013-11-18,145.20778424924757,145.32855590235204,144.13694225838816,144.459,104796009.0
2013-11-19,144.38654331676258,144.82132128693516,143.89540523934537,144.145,93891416.0
2013-11-20,144.43473222390315,144.86950983358548,143.2994795763994,143.694,124908601.0
2013-11-21,144.09616702795844,144.96571980434663,144.0076014674004,144.853,92841271.0
2013-11-22,144.90973087771692,145.59410287041646,144.74065073834413,145.578,81295887.0
2013-11-25,145.83557155511267,145.86777727952168,145.2236627913414,145.433,79485709.0
2013-11-26,145.5052056674784,145.9077765109586,145.2556117445207,145.473,86993560.0
2013-11-27,145.62671356007067,145.9246174911661,145.44958149293288,145.828,58800056.0
2013-11-29,145.9886459668508,146.33485773480663,145.56997127071824,145.731,55870903.0
2013-12-02,145.80388173710742,146.07763136320833,145.1275591314463,145.353,99725781.0
2013-12-03,144.876976689847,145.23928990264255,144.25701852573016,144.724,116563302.0
2013-12-04,144.20076114171258,145.3118557836755,143.59690535803705,144.708,123032637.0
2013-12-05,144.45041645244214,144.71611311053985,143.9351259640103,144.072,106934067.0
2013-12-06,145.46561075494637,145.81987470984856,145.04693517188016,145.683,127727518.0
2013-12-09,146.1093600330761,146.2703886990077,145.859765600882,146.053,70123608.0
2013-12-10,145.71518340248963,146.02113858921163,145.44143402489624,145.53,80976207.0
2013-12-11,145.58579845568488,145.6099527193375,143.71786873321398,143.895,130590810.0
2013-12-12,143.8306225790153,144.00775388761016,143.12209734463593,143.42,115564840.0
2013-12-13,143.71800572679803,143.84682858907414,143.13025141766323,143.404,107807610.0
2013-12-16,144.0806109809173,144.77303526392143,144.04035375516125,144.298,96194790.0
2013-12-17,144.42675521970332,144.45090954380072,143.51694234536802,143.839,89886224.0
2013-12-18,144.05669455145843,146.31915437534397,142.76846119977986,146.295,234906482.0
2013-12-19,145.87540635847705,146.29407956361229,145.4969901922971,146.125,136298872.0
2013-12-20,146.26674372108394,147.3190806895792,146.16960492399207,146.971,197086908.0
2013-12-23,147.69124089190817,147.84504377362623,147.383635128472,147.756,85597541.0
2013-12-24,147.76429891215219,148.14475919750726,147.7562040124638,148.08,45368841.0
2013-12-26,148.41206472315892,148.9139490917002,148.39587490481887,148.833,63365227.0
2013-12-27,149.02737285830838,149.09213217296707,148.6711966276856,148.825,61813841.0
2013-12-30,148.84047437710805,148.96189750843217,148.60572298988143,148.8,56857458.0
2013-12-31,149.00311522009855,149.505,148.88978639883047,149.505,86247638.0
2014-01-02,148.9300599169036,149.00291406079162,147.71582418543628,148.072,119636836.0
2014-01-03,148.32322729509542,148.6227393515228,147.83753206845645,148.048,81390502.0
2014-01-06,148.53372620092125,148.59039065584557,147.39234218030268,147.619,108028139.0
2014-01-07,148.2092993786789,148.7759415195117,148.09597095051234,148.525,86144169.0
2014-01-08,148.5013355492589,148.80894256756756,148.0480199433304,148.558,96582234.0
2014-01-09,149.0354609562187,149.0516507841429,147.97502722718363,148.655,90683302.0
2014-01-10,148.9061963723254,149.12475942217878,148.1452731617248,149.06,102026318.0
2014-01-13,148.67878760526168,149.09162683692003,146.79267895866585,147.076,149891938.0
2014-01-14,147.56190401263135,148.75994898459194,147.28667746501878,148.679,105016055.0
